4643,WA53316TSE,10,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,2  x,NULL,2015-04-11T09:06,2.5m,unknown sp.,SLS Lifesavers report,tracking north and south,114.9984,-33.5496
4644,WA13832TSE,10,m offshore,sighted,1,Dunsborough,Bird Rock,NULL,NULL,2015-04-11T09:03,5.5m,unknown sp.,SLS Lifesavers report,NULL,118.4934,-34.8996
4645,WA33776TSE,10,m offshore,sighted,1,Cape Naturaliste,Bone Yards Surfing Spot,NULL,NULL,2015-04-10T16:32,3.5m,unknown sp.,SLS Westpac Heli report,NULL,115.047,-33.5355
4646,WA84838TSE,NULL,NULL,sighted,1,Yallingup,Smiths Beach,6 x,NULL,2015-04-10T13:58,3m,unknown sp.,SLS Westpac Heli report,NULL,115.0146,-33.6603
4647,WA77387TSE,15,m offshore,sighted,1,Cape Naturaliste,Shelley Beach,NULL,NULL,2015-04-10T13:51,2.5m,unknown sp.,SLS Westpac Heli report,NULL,117.6432,-35.1119
4648,WA87128TSE,10,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,6 x,NULL,2015-04-10T13:49,2.5m,unknown sp.,SLS Westpac Heli report,tracking both north and south,114.9984,-33.5496
4649,WA76248TSE,15,m offshore,sighted,1,Hamelin Bay,Deepdene Beach,2  x,NULL,2015-04-10T10:19,4m,unknown sp.,SLS Westpac Heli report,NULL,115.0649,-34.2977
4650,WA99926TSE,10,m offshore,sighted,1,Prevelly,Boodjidup Beach Surfing Spot,NULL,NULL,2015-04-10T10:30,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9895,-34.0136
4651,WA97569TSE,15,m offshore,sighted,1,Prevelly,Gas Bay,NULL,NULL,2015-04-10T10:30,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9845,-34.0045
4652,WA49214TSE,15,m offshore,sighted,1,Hamelin Bay,Honeycomb Rocks,2  x,NULL,2015-04-10T10:18,3m,unknown sp.,SLS Westpac Heli report,NULL,115.0147,-34.263
4653,WA78739TSE,5,m offshore,sighted,1,Gracetown,Quininup Beach,NULL,NULL,2015-04-10T10:16,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9806,-33.7517
4654,WA28652TSE,5,m offshore,sighted,1,Yallingup,Injidup Beach,NULL,NULL,2015-04-10T10:13,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9918,-33.6896
4655,WA85989TSE,5,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,2  x,NULL,2015-04-10T10:00,3m,unknown sp.,SLS Westpac Heli report,NULL,115.01,-33.6479
4656,WA35335TSE,10,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,6 x,NULL,2015-04-10T09:51,2.5m,unknown sp.,SLS Westpac Heli report,NULL,114.9984,-33.5496
4657,WA17581TSE,100,m offshore,sighted,1,Albany,Cheynes Beach (Waychinicup),NULL,2015-04-05T12:50,2015-04-05T11:50,3.5m,unknown sp.,Fisheries advise,NULL,118.4087,-34.8697
4658,WA94646TSE,50,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,3 x,NULL,2015-04-06T14:38,2.5m,unknown sp.,SLS Westpac Heli report,NULL,114.9984,-33.5496
4659,WA49125TSE,50,m offshore,sighted,1,Perth Metro,Riverton Boat Ramp,NULL,2015-04-06T11:10,2015-04-06T10:30,1.8m,unknown sp.,Public report,NULL,115.9008,-32.0281
4660,WA97856TSE,200,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,4 x,NULL,2015-04-06T10:29,large,unknown sp.,SLS Westpac Heli report,NULL,114.9984,-33.5496
4661,WA69416TSE,100,m offshore,sighted,1,Albany,Cheyne Head Beach (West),NULL,2015-04-05T12:50,2015-04-05T11:50,3.5m,unknown sp.,Fisheries advise,NULL,117.9623,-35.0226
4662,WA59627TSE,100,m offshore,sighted,1,Perth Metro,Floreat Beach,NULL,NULL,2015-04-05T11:48,1.5m,hammerhead,SLS Lifesavers report,300m north of Floreat Drain,115.7436,-31.9285
4663,WA24537TSE,8,km offshore,sighted,1,Rockingham,John Ledge,NULL,NULL,2015-04-05T07:29,4m,white,Public report,8km west of John Ledge,115.6752,-32.2558
4664,WA96341TSE,50,m offshore,sighted,1,Cape Naturaliste,Bunker Bay,school of,NULL,2015-04-04T14:30,1m,hammerhead,SLS Lifesavers report,circling,115.0447,-33.5364
4665,WA45612TSE,10,m offshore,sighted,1,Prevelly,Contis Beach,NULL,NULL,2015-04-04T14:26,2m,unknown sp.,SLS Lifesavers report,south of Contos Beach   tracking south,114.9909,-34.0771
4666,WA47945TSE,100,m offshore,sighted,1,Hamelin Bay,Hamelin Bay,NULL,NULL,2015-04-04T14:20,3.5m,unknown sp.,SLS Lifesavers report,500m north of Hamelin Bay main Beach,115.0158,-34.1911
4667,WA61752TSE,10,m offshore,sighted,1,Hamelin Bay,Deepdene Beach,2  x,NULL,2015-04-04T14:19,2.5m,unknown sp.,SLS Lifesavers report,NULL,115.0649,-34.2977
4668,WA57741TSE,20,m offshore,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-04-04T10:44,2.5m,unknown sp.,SLS Lifesavers report,tracking south,115.0069,-33.6504
4669,WA19961TSE,20,m offshore,sighted,1,Yallingup,Injidup Beach,NULL,NULL,2015-04-04T10:33,2.5m,unknown sp.,SLS Lifesavers report,NULL,114.9918,-33.6896
4670,WA87447TSE,40,m offshore,sighted,1,Yallingup,Canal Rocks Boat Ramp,NULL,NULL,2015-04-04T10:32,3m,unknown sp.,SLS Lifesavers report,honeycomb surf break,114.9918,-33.6584
4671,WA44713TSE,100,m offshore,sighted,1,Augusta,Augusta,NULL,NULL,2015-04-04T09:56,3m,tiger,SLS Lifesavers report,8-10km east of Augusta,115.1831,-34.3312
4672,WA88975TSE,NULL,NULL,sighted,1,Cape Naturaliste,Bunker Bay,school of,NULL,2015-04-03T16:29,1m,hammerhead,Public report,NULL,115.0411,-33.5431
4673,WA97527TSE,5,m offshore,sighted,1,Cape Naturaliste,Bunker Bay Beach,NULL,NULL,2015-04-03T16:27,3m,unknown sp.,SLS Lifesavers report,NULL,115.0435,-33.5364
4674,WA16875TSE,20,m offshore,sighted,1,Cape Naturaliste,Other Side of the Moon Surfing Spot,NULL,NULL,2015-04-03T16:26,2m,unknown sp.,SLS Lifesavers report,NULL,114.993,-33.5347
4675,WA18479TSE,5,m offshore,sighted,1,Yallingup,Injidup Point Beach,NULL,NULL,2015-04-03T15:10,2m,unknown sp.,SLS Lifesavers report,tracking south,114.9819,-33.6899
4676,WA29955TSE,5,m offshore,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-04-03T15:09,3.5m,unknown sp.,SLS Lifesavers report,NULL,115.0069,-33.6504
4677,WA38231TSE,100,m offshore,sighted,1,Yallingup,Rabbit Hill Surfing Spot,NULL,NULL,2015-04-03T15:08,2.5m,unknown sp.,SLS Lifesavers report,tracking west,115.0151,-33.6325
4678,WA14783TSE,5,m offshore,sighted,1,Cape Naturaliste,Sugarloaf Rock,NULL,NULL,2015-04-03T10:50,3m,unknown sp.,SLS Lifesavers report,Sand Patch,114.9946,-33.5574
4679,WA94686TSE,NULL,NULL,sighted,1,Cape Naturaliste,Windmills Surfing Spot,2  x,NULL,2015-04-03T10:58,2m,unknown sp.,SLS Lifesavers report,circling,115.0081,-33.5449
4680,WA94497TSE,NULL,NULL,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-04-03T10:52,2.5m,unknown sp.,SLS Lifesavers report,circling,115.0146,-33.6603
